Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Tyllinge;86010;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1968-07-31 23:59:59;110.0;58.0166;16.0833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-01-01 00:00:01;1961-01-02 00:00:00;1961-01-01;-0.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-02 00:00:01;1961-01-03 00:00:00;1961-01-02;0.0;Y;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-03 00:00:01;1961-01-04 00:00:00;1961-01-03;0.9;Y;;Tidsperiod (t.o.m.) = 1968-07-31 23:59:59 (UTC)
1961-01-04 00:00:01;1961-01-05 00:00:00;1961-01-04;0.1;Y;;Medelvärdet är beräknat för = 24 timmar
1961-01-05 00:00:01;1961-01-06 00:00:00;1961-01-05;0.3;Y;;
1961-01-06 00:00:01;1961-01-07 00:00:00;1961-01-06;-0.2;Y;;Kvalitetskoderna:
1961-01-07 00:00:01;1961-01-08 00:00:00;1961-01-07;0.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-01-08 00:00:01;1961-01-09 00:00:00;1961-01-08;-2.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-09 00:00:01;1961-01-10 00:00:00;1961-01-09;-2.2;Y;;
1961-01-10 00:00:01;1961-01-11 00:00:00;1961-01-10;0.2;Y;;Nätinformation:
1961-01-11 00:00:01;1961-01-12 00:00:00;1961-01-11;-2.9;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1961-01-12 00:00:01;1961-01-13 00:00:00;1961-01-12;-7.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1961-01-13 00:00:01;1961-01-14 00:00:00;1961-01-13;0.6;Y;;
1961-01-14 00:00:01;1961-01-15 00:00:00;1961-01-14;0.2;Y;;Möjliga orsaker till saknade data:
1961-01-15 00:00:01;1961-01-16 00:00:00;1961-01-15;1.4;Y;;– stationen eller givaren har varit ur funktion.
1961-01-16 00:00:01;1961-01-17 00:00:00;1961-01-16;-1.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1961-01-17 00:00:01;1961-01-18 00:00:00;1961-01-17;-3.9;Y
1961-01-18 00:00:01;1961-01-19 00:00:00;1961-01-18;-3.1;Y
1961-01-19 00:00:01;1961-01-20 00:00:00;1961-01-19;-7.3;Y
1961-01-20 00:00:01;1961-01-21 00:00:00;1961-01-20;-7.8;Y
1961-01-21 00:00:01;1961-01-22 00:00:00;1961-01-21;-5.2;Y
1961-01-22 00:00:01;1961-01-23 00:00:00;1961-01-22;-7.4;Y
1961-01-23 00:00:01;1961-01-24 00:00:00;1961-01-23;-5.8;Y
1961-01-24 00:00:01;1961-01-25 00:00:00;1961-01-24;-7.6;Y
1961-01-25 00:00:01;1961-01-26 00:00:00;1961-01-25;-12.3;Y
1961-01-26 00:00:01;1961-01-27 00:00:00;1961-01-26;-7.9;Y
1961-01-27 00:00:01;1961-01-28 00:00:00;1961-01-27;-6.2;Y
1961-01-28 00:00:01;1961-01-29 00:00:00;1961-01-28;-0.1;Y
1961-01-29 00:00:01;1961-01-30 00:00:00;1961-01-29;0.9;Y
1961-01-30 00:00:01;1961-01-31 00:00:00;1961-01-30;4.2;Y
1961-01-31 00:00:01;1961-02-01 00:00:00;1961-01-31;3.2;Y
1961-02-01 00:00:01;1961-02-02 00:00:00;1961-02-01;0.9;Y
1961-02-02 00:00:01;1961-02-03 00:00:00;1961-02-02;0.4;Y
1961-02-03 00:00:01;1961-02-04 00:00:00;1961-02-03;-0.8;Y
1961-02-04 00:00:01;1961-02-05 00:00:00;1961-02-04;-5.3;Y
