Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lurö;83460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-01-01 00:00:00;1965-11-30 23:59:59;55.0;58.8000;13.2500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-01-02 07:00:00;1945-01-01;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-01-02 07:00:01;1945-01-03 07:00:00;1945-01-02;0.2;G;;Tidsperiod (fr.o.m.) = 1945-01-01 00:00:00 (UTC)
1945-01-03 07:00:01;1945-01-04 07:00:00;1945-01-03;0.5;G;;Tidsperiod (t.o.m.) = 1965-11-30 23:59:59 (UTC)
1945-01-04 07:00:01;1945-01-05 07:00:00;1945-01-04;0.7;G;;Värdet är summerat över = 24 timmar
1945-01-05 07:00:01;1945-01-06 07:00:00;1945-01-05;0.0;G;;
1945-01-06 07:00:01;1945-01-07 07:00:00;1945-01-06;0.5;G;;Kvalitetskoderna:
1945-01-07 07:00:01;1945-01-08 07:00:00;1945-01-07;0.8;G;;Grön (G) = Kontrollerade och godkända värden.
1945-01-08 07:00:01;1945-01-09 07:00:00;1945-01-08;2.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-01-09 07:00:01;1945-01-10 07:00:00;1945-01-09;2.5;G;;
1945-01-10 07:00:01;1945-01-11 07:00:00;1945-01-10;0.0;G;;Nätinformation:
1945-01-11 07:00:01;1945-01-12 07:00:00;1945-01-11;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1945-01-12 07:00:01;1945-01-13 07:00:00;1945-01-12;0.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1945-01-13 07:00:01;1945-01-14 07:00:00;1945-01-13;0.0;G;;
1945-01-14 07:00:01;1945-01-15 07:00:00;1945-01-14;0.0;G;;Möjliga orsaker till saknade data:
1945-01-15 07:00:01;1945-01-16 07:00:00;1945-01-15;0.0;G;;– stationen eller givaren har varit ur funktion.
1945-01-16 07:00:01;1945-01-17 07:00:00;1945-01-16;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1945-01-17 07:00:01;1945-01-18 07:00:00;1945-01-17;0.0;G
1945-01-18 07:00:01;1945-01-19 07:00:00;1945-01-18;5.4;G
1945-01-19 07:00:01;1945-01-20 07:00:00;1945-01-19;1.0;G
1945-01-20 07:00:01;1945-01-21 07:00:00;1945-01-20;1.6;G
1945-01-21 07:00:01;1945-01-22 07:00:00;1945-01-21;0.6;G
1945-01-22 07:00:01;1945-01-23 07:00:00;1945-01-22;3.0;G
1945-01-23 07:00:01;1945-01-24 07:00:00;1945-01-23;1.6;G
1945-01-24 07:00:01;1945-01-25 07:00:00;1945-01-24;0.5;G
1945-01-25 07:00:01;1945-01-26 07:00:00;1945-01-25;2.0;G
1945-01-26 07:00:01;1945-01-27 07:00:00;1945-01-26;2.4;G
1945-01-27 07:00:01;1945-01-28 07:00:00;1945-01-27;0.4;G
1945-01-28 07:00:01;1945-01-29 07:00:00;1945-01-28;0.6;G
1945-01-29 07:00:01;1945-01-30 07:00:00;1945-01-29;0.0;G
1945-01-30 07:00:01;1945-01-31 07:00:00;1945-01-30;0.0;G
1945-01-31 07:00:01;1945-02-01 07:00:00;1945-01-31;3.0;G
1945-02-01 07:00:01;1945-02-02 07:00:00;1945-02-01;5.2;G
1945-02-02 07:00:01;1945-02-03 07:00:00;1945-02-02;15.4;G
1945-02-03 07:00:01;1945-02-04 07:00:00;1945-02-03;2.0;G
1945-02-04 07:00:01;1945-02-05 07:00:00;1945-02-04;0.0;G
1945-02-05 07:00:01;1945-02-06 07:00:00;1945-02-05;0.0;G
1945-02-06 07:00:01;1945-02-07 07:00:00;1945-02-06;0.3;G
1945-02-07 07:00:01;1945-02-08 07:00:00;1945-02-07;4.0;G
1945-02-08 07:00:01;1945-02-09 07:00:00;1945-02-08;0.0;G
1945-02-09 07:00:01;1945-02-10 07:00:00;1945-02-09;2.0;G
1945-02-10 07:00:01;1945-02-11 07:00:00;1945-02-10;3.5;G
1945-02-11 07:00:01;1945-02-12 07:00:00;1945-02-11;1.0;G
1945-02-12 07:00:01;1945-02-13 07:00:00;1945-02-12;0.0;G
1945-02-13 07:00:01;1945-02-14 07:00:00;1945-02-13;7.2;G
1945-02-14 07:00:01;1945-02-15 07:00:00;1945-02-14;1.3;G
1945-02-15 07:00:01;1945-02-16 07:00:00;1945-02-15;0.0;G
1945-02-16 07:00:01;1945-02-17 07:00:00;1945-02-16;0.0;G
1945-02-17 07:00:01;1945-02-18 07:00:00;1945-02-17;0.0;G
1945-02-18 07:00:01;1945-02-19 07:00:00;1945-02-18;1.6;G
1945-02-19 07:00:01;1945-02-20 07:00:00;1945-02-19;0.0;G
1945-02-20 07:00:01;1945-02-21 07:00:00;1945-02-20;2.7;G
1945-02-21 07:00:01;1945-02-22 07:00:00;1945-02-21;0.6;G
1945-02-22 07:00:01;1945-02-23 07:00:00;1945-02-22;0.0;G
1945-02-23 07:00:01;1945-02-24 07:00:00;1945-02-23;0.0;G
1945-02-24 07:00:01;1945-02-25 07:00:00;1945-02-24;0.5;G
1945-02-25 07:00:01;1945-02-26 07:00:00;1945-02-25;2.4;G
1945-02-26 07:00:01;1945-02-27 07:00:00;1945-02-26;0.0;G
1945-02-27 07:00:01;1945-02-28 07:00:00;1945-02-27;0.0;G
1945-02-28 07:00:01;1945-03-01 07:00:00;1945-02-28;2.0;G
1945-03-01 07:00:01;1945-03-02 07:00:00;1945-03-01;0.0;G
1945-03-02 07:00:01;1945-03-03 07:00:00;1945-03-02;0.0;G
1945-03-03 07:00:01;1945-03-04 07:00:00;1945-03-03;0.0;G
1945-03-04 07:00:01;1945-03-05 07:00:00;1945-03-04;0.0;G
1945-03-05 07:00:01;1945-03-06 07:00:00;1945-03-05;0.0;G
1945-03-06 07:00:01;1945-03-07 07:00:00;1945-03-06;0.0;G
1945-03-07 07:00:01;1945-03-08 07:00:00;1945-03-07;0.0;G
1945-03-08 07:00:01;1945-03-09 07:00:00;1945-03-08;0.0;G
1945-03-09 07:00:01;1945-03-10 07:00:00;1945-03-09;0.0;G
1945-03-10 07:00:01;1945-03-11 07:00:00;1945-03-10;0.0;G
1945-03-11 07:00:01;1945-03-12 07:00:00;1945-03-11;0.0;G
1945-03-12 07:00:01;1945-03-13 07:00:00;1945-03-12;0.0;G
1945-03-13 07:00:01;1945-03-14 07:00:00;1945-03-13;0.0;G
1945-03-14 07:00:01;1945-03-15 07:00:00;1945-03-14;0.0;G
1945-03-15 07:00:01;1945-03-16 07:00:00;1945-03-15;0.0;G
1945-03-16 07:00:01;1945-03-17 07:00:00;1945-03-16;0.5;G
1945-03-17 07:00:01;1945-03-18 07:00:00;1945-03-17;0.0;G
1945-03-18 07:00:01;1945-03-19 07:00:00;1945-03-18;0.0;G
1945-03-19 07:00:01;1945-03-20 07:00:00;1945-03-19;2.0;G
1945-03-20 07:00:01;1945-03-21 07:00:00;1945-03-20;6.0;G
1945-03-21 07:00:01;1945-03-22 07:00:00;1945-03-21;0.0;G
1945-03-22 07:00:01;1945-03-23 07:00:00;1945-03-22;0.0;G
1945-03-23 07:00:01;1945-03-24 07:00:00;1945-03-23;0.0;G
1945-03-24 07:00:01;1945-03-25 07:00:00;1945-03-24;0.0;G
1945-03-25 07:00:01;1945-03-26 07:00:00;1945-03-25;0.0;G
1945-03-26 07:00:01;1945-03-27 07:00:00;1945-03-26;0.0;G
1945-03-27 07:00:01;1945-03-28 07:00:00;1945-03-27;0.0;G
1945-03-28 07:00:01;1945-03-29 07:00:00;1945-03-28;0.0;G
1945-03-29 07:00:01;1945-03-30 07:00:00;1945-03-29;0.0;G
1945-03-30 07:00:01;1945-03-31 07:00:00;1945-03-30;0.4;G
1945-03-31 07:00:01;1945-04-01 07:00:00;1945-03-31;1.0;G
1945-04-01 07:00:01;1945-04-02 07:00:00;1945-04-01;0.0;G
1945-04-02 07:00:01;1945-04-03 07:00:00;1945-04-02;0.0;G
1945-04-03 07:00:01;1945-04-04 07:00:00;1945-04-03;0.0;G
1945-04-04 07:00:01;1945-04-05 07:00:00;1945-04-04;0.0;G
1945-04-05 07:00:01;1945-04-06 07:00:00;1945-04-05;0.0;G
1945-04-06 07:00:01;1945-04-07 07:00:00;1945-04-06;0.0;G
1945-04-07 07:00:01;1945-04-08 07:00:00;1945-04-07;0.0;G
1945-04-08 07:00:01;1945-04-09 07:00:00;1945-04-08;0.0;G
1945-04-09 07:00:01;1945-04-10 07:00:00;1945-04-09;0.0;G
1945-04-10 07:00:01;1945-04-11 07:00:00;1945-04-10;0.0;G
1945-04-11 07:00:01;1945-04-12 07:00:00;1945-04-11;0.0;G
1945-04-12 07:00:01;1945-04-13 07:00:00;1945-04-12;0.0;G
1945-04-13 07:00:01;1945-04-14 07:00:00;1945-04-13;0.0;G
1945-04-14 07:00:01;1945-04-15 07:00:00;1945-04-14;0.0;G
1945-04-15 07:00:01;1945-04-16 07:00:00;1945-04-15;0.0;G
1945-04-16 07:00:01;1945-04-17 07:00:00;1945-04-16;1.6;G
1945-04-17 07:00:01;1945-04-18 07:00:00;1945-04-17;0.5;G
1945-04-18 07:00:01;1945-04-19 07:00:00;1945-04-18;0.0;G
1945-04-19 07:00:01;1945-04-20 07:00:00;1945-04-19;0.0;G
1945-04-20 07:00:01;1945-04-21 07:00:00;1945-04-20;0.0;G
1945-04-21 07:00:01;1945-04-22 07:00:00;1945-04-21;0.4;G
1945-04-22 07:00:01;1945-04-23 07:00:00;1945-04-22;1.0;G
1945-04-23 07:00:01;1945-04-24 07:00:00;1945-04-23;0.0;G
1945-04-24 07:00:01;1945-04-25 07:00:00;1945-04-24;0.0;G
